starttime	seconds	ctime	dtime	ttime	wait
Thu Aug 20 00:53:56 2015	1440021236	0	5003	5003	1
Thu Aug 20 00:50:11 2015	1440021011	0	5003	5003	1
Thu Aug 20 00:55:31 2015	1440021331	0	5003	5003	2
Thu Aug 20 00:55:56 2015	1440021356	0	5003	5003	2
Thu Aug 20 00:56:51 2015	1440021411	0	5003	5003	2
Thu Aug 20 00:50:16 2015	1440021016	0	5003	5003	1
Thu Aug 20 00:52:01 2015	1440021121	0	5003	5003	1
Thu Aug 20 00:57:46 2015	1440021466	0	5003	5003	1
Thu Aug 20 00:53:56 2015	1440021236	0	5003	5003	1
Thu Aug 20 00:51:51 2015	1440021111	0	5003	5003	1
Thu Aug 20 00:51:21 2015	1440021081	0	5003	5003	2
Thu Aug 20 00:52:36 2015	1440021156	0	5003	5003	1
Thu Aug 20 00:56:46 2015	1440021406	0	5003	5003	1
Thu Aug 20 00:50:06 2015	1440021006	0	5003	5003	1
Thu Aug 20 00:51:36 2015	1440021096	0	5003	5003	1
Thu Aug 20 00:52:46 2015	1440021166	0	5003	5003	1
Thu Aug 20 00:52:21 2015	1440021141	0	5003	5003	1
Thu Aug 20 00:57:16 2015	1440021436	0	5003	5003	1
Thu Aug 20 00:53:01 2015	1440021181	0	5003	5003	2
Thu Aug 20 00:55:41 2015	1440021341	0	5003	5003	1
Thu Aug 20 00:51:11 2015	1440021071	0	5003	5003	1
Thu Aug 20 00:56:56 2015	1440021416	0	5003	5003	1
Thu Aug 20 00:56:51 2015	1440021411	0	5003	5003	1
Thu Aug 20 00:56:51 2015	1440021411	0	5003	5003	1
Thu Aug 20 00:53:46 2015	1440021226	0	5003	5003	1
Thu Aug 20 00:56:26 2015	1440021386	0	5003	5003	2
Thu Aug 20 00:56:06 2015	1440021366	0	5003	5003	2
Thu Aug 20 00:55:56 2015	1440021356	0	5002	5003	2
Thu Aug 20 00:52:36 2015	1440021156	0	5003	5003	1
Thu Aug 20 00:56:06 2015	1440021366	0	5003	5003	2
Thu Aug 20 00:55:56 2015	1440021356	0	5003	5003	1
Thu Aug 20 00:56:01 2015	1440021361	0	5003	5003	1
Thu Aug 20 00:57:21 2015	1440021441	0	5003	5003	2
Thu Aug 20 00:56:16 2015	1440021376	0	5003	5003	2
Thu Aug 20 00:51:11 2015	1440021071	0	5003	5003	1
Thu Aug 20 00:57:56 2015	1440021476	0	5003	5003	1
Thu Aug 20 00:54:56 2015	1440021296	0	5003	5003	1
Thu Aug 20 00:52:06 2015	1440021126	0	5003	5003	1
Thu Aug 20 00:55:21 2015	1440021321	0	5003	5003	1
Thu Aug 20 00:51:01 2015	1440021061	0	5003	5003	1
Thu Aug 20 00:56:16 2015	1440021376	0	5003	5003	2
Thu Aug 20 00:56:56 2015	1440021416	0	5003	5003	1
Thu Aug 20 00:56:51 2015	1440021411	0	5003	5003	1
Thu Aug 20 00:56:46 2015	1440021406	0	5003	5003	2
Thu Aug 20 00:51:41 2015	1440021101	0	5003	5003	1
Thu Aug 20 00:54:11 2015	1440021251	0	5003	5003	1
Thu Aug 20 00:57:36 2015	1440021456	0	5003	5003	1
Thu Aug 20 00:50:06 2015	1440021006	0	5003	5003	1
Thu Aug 20 00:54:56 2015	1440021296	0	5003	5003	1
Thu Aug 20 00:57:46 2015	1440021466	0	5003	5003	1
Thu Aug 20 00:56:46 2015	1440021406	0	5003	5003	2
Thu Aug 20 00:53:41 2015	1440021221	0	5003	5003	2
Thu Aug 20 00:53:46 2015	1440021226	0	5003	5003	1
Thu Aug 20 00:56:41 2015	1440021401	0	5003	5003	1
Thu Aug 20 00:54:31 2015	1440021271	0	5003	5003	1
Thu Aug 20 00:52:51 2015	1440021171	0	5003	5003	1
Thu Aug 20 00:53:11 2015	1440021191	0	5003	5003	1
Thu Aug 20 00:52:46 2015	1440021166	0	5003	5003	1
Thu Aug 20 00:50:06 2015	1440021006	0	5003	5003	1
Thu Aug 20 00:57:01 2015	1440021421	0	5003	5003	1
Thu Aug 20 00:54:26 2015	1440021266	0	5003	5003	2
Thu Aug 20 00:57:31 2015	1440021451	0	5003	5003	1
Thu Aug 20 00:53:51 2015	1440021231	0	5003	5003	1
Thu Aug 20 00:50:56 2015	1440021056	0	5003	5003	2
Thu Aug 20 00:55:16 2015	1440021316	0	5003	5003	1
Thu Aug 20 00:51:46 2015	1440021106	0	5003	5003	1
Thu Aug 20 00:52:11 2015	1440021131	0	5003	5003	1
Thu Aug 20 00:56:21 2015	1440021381	0	5003	5003	1
Thu Aug 20 00:56:01 2015	1440021361	0	5003	5003	1
Thu Aug 20 00:56:01 2015	1440021361	0	5003	5003	1
Thu Aug 20 00:57:16 2015	1440021436	0	5003	5003	2
Thu Aug 20 00:57:06 2015	1440021426	0	5003	5003	2
Thu Aug 20 00:50:26 2015	1440021026	0	5003	5003	2
Thu Aug 20 00:53:56 2015	1440021236	0	5003	5003	2
Thu Aug 20 00:55:16 2015	1440021316	0	5003	5003	1
Thu Aug 20 00:56:46 2015	1440021406	0	5003	5003	1
Thu Aug 20 00:53:41 2015	1440021221	0	5003	5003	2
Thu Aug 20 00:55:01 2015	1440021301	0	5003	5003	1
Thu Aug 20 00:55:36 2015	1440021336	0	5003	5003	2
Thu Aug 20 00:55:51 2015	1440021351	0	5003	5003	2
Thu Aug 20 00:58:06 2015	1440021486	0	5003	5003	1
Thu Aug 20 00:53:06 2015	1440021186	0	5003	5003	1
Thu Aug 20 00:54:26 2015	1440021266	0	5003	5003	1
Thu Aug 20 00:55:31 2015	1440021331	0	5003	5003	1
Thu Aug 20 00:53:46 2015	1440021226	0	5003	5003	2
Thu Aug 20 00:50:16 2015	1440021016	0	5003	5003	11
Thu Aug 20 00:51:41 2015	1440021101	0	5003	5003	1
Thu Aug 20 00:50:26 2015	1440021026	0	5003	5003	1
Thu Aug 20 00:51:16 2015	1440021076	0	5003	5003	1
Thu Aug 20 00:56:41 2015	1440021401	0	5003	5003	1
Thu Aug 20 00:57:01 2015	1440021421	0	5003	5003	1
Thu Aug 20 00:56:41 2015	1440021401	0	5003	5003	2
Thu Aug 20 00:54:26 2015	1440021266	0	5003	5003	2
Thu Aug 20 00:50:56 2015	1440021056	0	5003	5003	1
Thu Aug 20 00:53:36 2015	1440021216	0	5003	5003	1
Thu Aug 20 00:52:11 2015	1440021131	0	5003	5003	1
Thu Aug 20 00:57:16 2015	1440021436	0	5003	5003	1
Thu Aug 20 00:56:56 2015	1440021416	0	5003	5003	2
Thu Aug 20 00:56:06 2015	1440021366	0	5003	5003	1
Thu Aug 20 00:55:56 2015	1440021356	0	5003	5003	1
Thu Aug 20 00:57:01 2015	1440021421	0	5003	5003	1
Thu Aug 20 00:52:46 2015	1440021166	0	5003	5003	1
Thu Aug 20 00:54:01 2015	1440021241	0	5003	5003	1
Thu Aug 20 00:54:01 2015	1440021241	0	5003	5003	1
Thu Aug 20 00:55:11 2015	1440021311	0	5003	5003	1
Thu Aug 20 00:52:51 2015	1440021171	0	5003	5003	1
Thu Aug 20 00:57:06 2015	1440021426	0	5003	5003	1
Thu Aug 20 00:53:46 2015	1440021226	0	5003	5003	2
Thu Aug 20 00:51:56 2015	1440021116	0	5003	5003	1
Thu Aug 20 00:55:21 2015	1440021321	0	5003	5003	1
Thu Aug 20 00:53:46 2015	1440021226	0	5003	5003	2
Thu Aug 20 00:56:46 2015	1440021406	0	5003	5003	1
Thu Aug 20 00:55:36 2015	1440021336	0	5003	5003	1
Thu Aug 20 00:57:56 2015	1440021476	0	5003	5003	1
Thu Aug 20 00:54:11 2015	1440021251	0	5003	5003	2
Thu Aug 20 00:56:11 2015	1440021371	0	5003	5003	1
Thu Aug 20 00:51:11 2015	1440021071	0	5003	5003	2
Thu Aug 20 00:51:46 2015	1440021106	0	5003	5003	1
Thu Aug 20 00:55:41 2015	1440021341	0	5003	5003	1
Thu Aug 20 00:54:21 2015	1440021261	0	5003	5003	1
Thu Aug 20 00:56:11 2015	1440021371	0	5003	5003	2
Thu Aug 20 00:52:31 2015	1440021151	0	5003	5003	1
Thu Aug 20 00:56:06 2015	1440021366	0	5003	5003	1
Thu Aug 20 00:50:26 2015	1440021026	0	5003	5003	1
Thu Aug 20 00:52:26 2015	1440021146	0	5003	5003	1
Thu Aug 20 00:56:16 2015	1440021376	0	5003	5003	1
Thu Aug 20 00:57:11 2015	1440021431	0	5003	5003	1
Thu Aug 20 00:54:51 2015	1440021291	0	5003	5003	1
Thu Aug 20 00:56:56 2015	1440021416	0	5003	5003	1
Thu Aug 20 00:54:56 2015	1440021296	0	5003	5003	1
Thu Aug 20 00:50:56 2015	1440021056	0	5003	5003	1
Thu Aug 20 00:51:56 2015	1440021116	0	5003	5003	1
Thu Aug 20 00:53:51 2015	1440021231	0	5003	5003	1
Thu Aug 20 00:51:41 2015	1440021101	0	5003	5003	1
Thu Aug 20 00:53:16 2015	1440021196	1	5003	5003	2
Thu Aug 20 00:52:01 2015	1440021121	0	5003	5003	1
Thu Aug 20 00:53:46 2015	1440021226	0	5003	5003	1
Thu Aug 20 00:51:56 2015	1440021116	0	5003	5003	1
Thu Aug 20 00:56:06 2015	1440021366	0	5003	5003	2
Thu Aug 20 00:54:26 2015	1440021266	0	5003	5003	1
Thu Aug 20 00:54:06 2015	1440021246	0	5003	5003	1
Thu Aug 20 00:56:01 2015	1440021361	0	5003	5003	1
Thu Aug 20 00:55:11 2015	1440021311	0	5003	5003	2
Thu Aug 20 00:55:11 2015	1440021311	0	5003	5003	2
Thu Aug 20 00:52:01 2015	1440021121	0	5003	5003	2
Thu Aug 20 00:52:56 2015	1440021176	0	5003	5003	1
Thu Aug 20 00:54:21 2015	1440021261	0	5003	5003	1
Thu Aug 20 00:52:21 2015	1440021141	0	5003	5003	1
Thu Aug 20 00:53:36 2015	1440021216	0	5003	5003	2
Thu Aug 20 00:53:16 2015	1440021196	0	5003	5003	1
Thu Aug 20 00:56:16 2015	1440021376	0	5003	5003	1
Thu Aug 20 00:54:56 2015	1440021296	0	5003	5003	1
Thu Aug 20 00:52:11 2015	1440021131	0	5003	5003	2
Thu Aug 20 00:54:16 2015	1440021256	0	5003	5003	1
Thu Aug 20 00:53:21 2015	1440021201	0	5003	5003	1
Thu Aug 20 00:54:16 2015	1440021256	0	5003	5003	1
Thu Aug 20 00:52:21 2015	1440021141	0	5003	5003	1
Thu Aug 20 00:52:06 2015	1440021126	0	5003	5003	1
Thu Aug 20 00:50:36 2015	1440021036	1	5003	5003	2
Thu Aug 20 00:55:06 2015	1440021306	0	5003	5003	2
Thu Aug 20 00:53:56 2015	1440021236	0	5003	5003	1
Thu Aug 20 00:54:51 2015	1440021291	0	5003	5003	1
Thu Aug 20 00:54:01 2015	1440021241	0	5003	5003	1
Thu Aug 20 00:50:31 2015	1440021031	0	5003	5003	2
Thu Aug 20 00:55:46 2015	1440021346	0	5003	5003	2
Thu Aug 20 00:50:36 2015	1440021036	1	5003	5003	1
Thu Aug 20 00:54:41 2015	1440021281	0	5003	5003	2
Thu Aug 20 00:55:16 2015	1440021316	0	5003	5003	1
Thu Aug 20 00:56:41 2015	1440021401	0	5003	5003	1
Thu Aug 20 00:55:01 2015	1440021301	0	5003	5003	1
Thu Aug 20 00:55:46 2015	1440021346	0	5003	5003	2
Thu Aug 20 00:51:16 2015	1440021076	0	5003	5003	1
Thu Aug 20 00:51:56 2015	1440021116	0	5003	5003	1
Thu Aug 20 00:55:56 2015	1440021356	0	5003	5003	1
Thu Aug 20 00:51:51 2015	1440021111	0	5003	5003	2
Thu Aug 20 00:55:36 2015	1440021336	0	5003	5003	1
Thu Aug 20 00:51:46 2015	1440021106	0	5003	5003	1
Thu Aug 20 00:50:26 2015	1440021026	0	5003	5003	1
Thu Aug 20 00:51:31 2015	1440021091	0	5003	5003	1
Thu Aug 20 00:54:01 2015	1440021241	0	5003	5003	2
Thu Aug 20 00:56:06 2015	1440021366	0	5003	5003	1
Thu Aug 20 00:56:16 2015	1440021376	0	5003	5003	2
Thu Aug 20 00:53:56 2015	1440021236	0	5003	5003	2
Thu Aug 20 00:56:31 2015	1440021391	0	5003	5003	2
Thu Aug 20 00:55:46 2015	1440021346	0	5003	5003	2
Thu Aug 20 00:56:31 2015	1440021391	0	5003	5003	2
Thu Aug 20 00:55:06 2015	1440021306	0	5003	5003	2
Thu Aug 20 00:55:26 2015	1440021326	0	5003	5003	2
Thu Aug 20 00:50:26 2015	1440021026	0	5003	5003	1
Thu Aug 20 00:56:51 2015	1440021411	0	5003	5003	2
Thu Aug 20 00:51:51 2015	1440021111	0	5003	5003	2
Thu Aug 20 00:51:36 2015	1440021096	0	5003	5003	2
Thu Aug 20 00:50:56 2015	1440021056	0	5003	5003	1
Thu Aug 20 00:50:16 2015	1440021016	0	5003	5003	1
Thu Aug 20 00:53:46 2015	1440021226	0	5003	5003	1
Thu Aug 20 00:55:21 2015	1440021321	0	5003	5003	2
Thu Aug 20 00:56:56 2015	1440021416	0	5003	5003	2
Thu Aug 20 00:53:51 2015	1440021231	0	5003	5003	3
Thu Aug 20 00:53:56 2015	1440021236	0	5003	5003	1
Thu Aug 20 00:56:36 2015	1440021396	0	5003	5003	1
Thu Aug 20 00:56:26 2015	1440021386	0	5003	5003	1
Thu Aug 20 00:52:11 2015	1440021131	0	5003	5003	2
Thu Aug 20 00:54:06 2015	1440021246	0	5003	5003	3
Thu Aug 20 00:57:16 2015	1440021436	0	5003	5003	2
Thu Aug 20 00:55:51 2015	1440021351	0	5003	5003	2
Thu Aug 20 00:52:06 2015	1440021126	0	5003	5003	1
Thu Aug 20 00:50:56 2015	1440021056	0	5003	5003	1
Thu Aug 20 00:53:01 2015	1440021181	0	5003	5003	2
Thu Aug 20 00:50:51 2015	1440021051	0	5003	5003	2
Thu Aug 20 00:56:31 2015	1440021391	0	5003	5003	1
Thu Aug 20 00:51:26 2015	1440021086	0	5003	5004	2
Thu Aug 20 00:55:41 2015	1440021341	0	5003	5004	2
Thu Aug 20 00:55:26 2015	1440021326	0	5003	5004	2
Thu Aug 20 00:51:51 2015	1440021111	0	5003	5004	2
Thu Aug 20 00:54:31 2015	1440021271	0	5003	5004	2
Thu Aug 20 00:55:16 2015	1440021316	0	5003	5004	1
Thu Aug 20 00:56:46 2015	1440021406	0	5003	5004	2
Thu Aug 20 00:55:21 2015	1440021321	0	5003	5004	2
Thu Aug 20 00:51:16 2015	1440021076	0	5003	5004	1
Thu Aug 20 00:53:51 2015	1440021231	0	5003	5004	3
Thu Aug 20 00:53:21 2015	1440021201	0	5003	5004	1
Thu Aug 20 00:52:21 2015	1440021141	0	5003	5004	2
Thu Aug 20 00:51:21 2015	1440021081	0	5003	5004	2
Thu Aug 20 00:51:26 2015	1440021086	0	5003	5004	2
Thu Aug 20 00:55:56 2015	1440021356	0	5003	5004	1
Thu Aug 20 00:54:46 2015	1440021286	0	5003	5004	2
Thu Aug 20 00:51:46 2015	1440021106	0	5003	5004	1
Thu Aug 20 00:51:51 2015	1440021111	0	5003	5004	2
Thu Aug 20 00:55:36 2015	1440021336	0	5003	5004	2
Thu Aug 20 00:55:06 2015	1440021306	0	5003	5004	1
Thu Aug 20 00:51:16 2015	1440021076	0	5003	5004	2
Thu Aug 20 00:50:01 2015	1440021001	0	5003	5004	2
Thu Aug 20 00:51:01 2015	1440021061	0	5003	5004	2
Thu Aug 20 00:55:11 2015	1440021311	0	5003	5004	2
Thu Aug 20 00:52:26 2015	1440021146	0	5003	5004	2
Thu Aug 20 00:50:01 2015	1440021001	0	5003	5004	1
Thu Aug 20 00:50:56 2015	1440021056	0	5003	5004	1
Thu Aug 20 00:50:41 2015	1440021041	0	5004	5004	2
Thu Aug 20 00:56:21 2015	1440021381	0	5004	5004	2
Thu Aug 20 00:56:01 2015	1440021361	0	5004	5004	1
Thu Aug 20 00:56:41 2015	1440021401	0	5003	5004	3
Thu Aug 20 00:50:51 2015	1440021051	0	5004	5004	1
Thu Aug 20 00:50:36 2015	1440021036	0	5003	5004	2
Thu Aug 20 00:56:21 2015	1440021381	0	5003	5004	2
Thu Aug 20 00:55:06 2015	1440021306	0	5004	5004	2
Thu Aug 20 00:53:26 2015	1440021206	0	5003	5004	2
Thu Aug 20 00:55:41 2015	1440021341	0	5004	5004	2
Thu Aug 20 00:56:31 2015	1440021391	0	5003	5004	2
Thu Aug 20 00:55:21 2015	1440021321	0	5004	5004	2
Thu Aug 20 00:58:06 2015	1440021486	0	5004	5004	1
Thu Aug 20 00:52:26 2015	1440021146	0	5004	5004	2
Thu Aug 20 00:51:36 2015	1440021096	0	5004	5004	1
Thu Aug 20 00:54:41 2015	1440021281	0	5004	5004	2
Thu Aug 20 00:54:06 2015	1440021246	0	5003	5004	2
Thu Aug 20 00:54:41 2015	1440021281	0	5004	5004	2
Thu Aug 20 00:53:01 2015	1440021181	0	5004	5004	2
Thu Aug 20 00:54:21 2015	1440021261	0	5004	5004	2
Thu Aug 20 00:50:36 2015	1440021036	1	5003	5004	1
Thu Aug 20 00:56:11 2015	1440021371	0	5004	5004	1
Thu Aug 20 00:51:16 2015	1440021076	0	5004	5004	2
Thu Aug 20 00:50:01 2015	1440021001	0	5004	5004	2
Thu Aug 20 00:53:31 2015	1440021211	0	5003	5004	3
Thu Aug 20 00:52:36 2015	1440021156	0	5004	5004	2
Thu Aug 20 00:53:31 2015	1440021211	0	5004	5004	2
Thu Aug 20 00:56:21 2015	1440021381	0	5004	5004	2
Thu Aug 20 00:54:11 2015	1440021251	0	5004	5004	3
Thu Aug 20 00:56:41 2015	1440021401	0	5004	5004	2
Thu Aug 20 00:51:26 2015	1440021086	0	5004	5004	2
Thu Aug 20 00:56:11 2015	1440021371	0	5004	5004	2
Thu Aug 20 00:56:11 2015	1440021371	0	5004	5004	2
Thu Aug 20 00:56:21 2015	1440021381	0	5004	5004	2
Thu Aug 20 00:54:06 2015	1440021246	0	5004	5004	2
Thu Aug 20 00:55:41 2015	1440021341	0	5004	5004	2
Thu Aug 20 00:52:26 2015	1440021146	0	5003	5004	2
Thu Aug 20 00:56:26 2015	1440021386	0	5004	5004	2
Thu Aug 20 00:56:31 2015	1440021391	0	5003	5004	2
Thu Aug 20 00:55:41 2015	1440021341	0	5003	5004	2
Thu Aug 20 00:52:11 2015	1440021131	0	5004	5004	2
Thu Aug 20 00:56:46 2015	1440021406	0	5004	5004	3
Thu Aug 20 00:55:46 2015	1440021346	0	5004	5004	1
Thu Aug 20 00:54:21 2015	1440021261	0	5003	5004	2
Thu Aug 20 00:53:01 2015	1440021181	0	5004	5004	2
Thu Aug 20 00:54:11 2015	1440021251	0	5004	5004	2
Thu Aug 20 00:51:26 2015	1440021086	1	5003	5004	2
Thu Aug 20 00:55:26 2015	1440021326	1	5003	5004	2
Thu Aug 20 00:50:41 2015	1440021041	0	5003	5004	2
Thu Aug 20 00:56:21 2015	1440021381	0	5004	5004	2
Thu Aug 20 00:55:21 2015	1440021321	0	5004	5004	2
Thu Aug 20 00:56:26 2015	1440021386	0	5004	5004	2
Thu Aug 20 00:53:31 2015	1440021211	1	5003	5004	2
Thu Aug 20 00:53:11 2015	1440021191	0	5004	5004	2
Thu Aug 20 00:53:01 2015	1440021181	0	5004	5004	2
Thu Aug 20 00:52:11 2015	1440021131	0	5004	5004	2
Thu Aug 20 00:52:11 2015	1440021131	0	5004	5004	2
Thu Aug 20 00:56:21 2015	1440021381	0	5003	5004	2
Thu Aug 20 00:50:06 2015	1440021006	1	5003	5004	2
Thu Aug 20 00:51:11 2015	1440021071	0	5004	5004	2
Thu Aug 20 00:54:36 2015	1440021276	0	5004	5004	3
Thu Aug 20 00:52:06 2015	1440021126	0	5004	5004	2
Thu Aug 20 00:55:01 2015	1440021301	0	5004	5004	3
Thu Aug 20 00:54:41 2015	1440021281	0	5004	5004	2
Thu Aug 20 00:52:56 2015	1440021176	0	5004	5004	2
Thu Aug 20 00:56:06 2015	1440021366	0	5004	5004	3
Thu Aug 20 00:52:06 2015	1440021126	0	5004	5004	2
Thu Aug 20 00:56:11 2015	1440021371	0	5004	5004	2
Thu Aug 20 00:54:26 2015	1440021266	0	5004	5004	2
Thu Aug 20 00:50:51 2015	1440021051	0	5003	5004	2
Thu Aug 20 00:56:41 2015	1440021401	0	5004	5004	2
Thu Aug 20 00:55:06 2015	1440021306	0	5004	5004	2
Thu Aug 20 00:55:56 2015	1440021356	0	5004	5004	1
Thu Aug 20 00:52:46 2015	1440021166	0	5004	5004	2
Thu Aug 20 00:56:11 2015	1440021371	0	5004	5004	2
Thu Aug 20 00:53:01 2015	1440021181	0	5004	5004	2
Thu Aug 20 00:54:26 2015	1440021266	0	5004	5004	2
Thu Aug 20 00:56:56 2015	1440021416	0	5004	5004	2
Thu Aug 20 00:53:26 2015	1440021206	0	5004	5004	2
Thu Aug 20 00:54:21 2015	1440021261	0	5004	5004	2
Thu Aug 20 00:53:31 2015	1440021211	0	5004	5004	2
Thu Aug 20 00:57:06 2015	1440021426	0	5004	5004	2
Thu Aug 20 00:55:01 2015	1440021301	0	5004	5004	2
Thu Aug 20 00:56:16 2015	1440021376	0	5004	5004	3
Thu Aug 20 00:50:06 2015	1440021006	0	5004	5004	2
Thu Aug 20 00:54:06 2015	1440021246	0	5004	5004	2
Thu Aug 20 00:55:51 2015	1440021351	0	5004	5004	2
Thu Aug 20 00:53:41 2015	1440021221	0	5004	5004	3
Thu Aug 20 00:55:26 2015	1440021326	0	5004	5004	3
Thu Aug 20 00:53:51 2015	1440021231	0	5004	5004	2
Thu Aug 20 00:54:31 2015	1440021271	0	5004	5004	2
Thu Aug 20 00:52:46 2015	1440021166	0	5004	5004	2
Thu Aug 20 00:53:51 2015	1440021231	0	5004	5004	2
Thu Aug 20 00:55:26 2015	1440021326	0	5004	5004	2
Thu Aug 20 00:51:41 2015	1440021101	0	5004	5004	2
Thu Aug 20 00:50:21 2015	1440021021	0	5004	5004	2
Thu Aug 20 00:53:51 2015	1440021231	0	5004	5004	2
Thu Aug 20 00:56:21 2015	1440021381	0	5004	5004	2
Thu Aug 20 00:54:21 2015	1440021261	0	5004	5004	2
Thu Aug 20 00:52:06 2015	1440021126	0	5004	5004	2
Thu Aug 20 00:56:16 2015	1440021376	0	5004	5004	2
Thu Aug 20 00:51:51 2015	1440021111	0	5004	5004	2
Thu Aug 20 00:55:36 2015	1440021336	0	5004	5004	2
Thu Aug 20 00:55:01 2015	1440021301	0	5004	5004	2
Thu Aug 20 00:53:51 2015	1440021231	0	5004	5004	2
Thu Aug 20 00:51:11 2015	1440021071	0	5004	5004	2
Thu Aug 20 00:55:56 2015	1440021356	0	5004	5004	2
Thu Aug 20 00:54:11 2015	1440021251	0	5004	5004	2
Thu Aug 20 00:54:31 2015	1440021271	0	5004	5004	2
Thu Aug 20 00:53:56 2015	1440021236	0	5004	5004	1
Thu Aug 20 00:55:06 2015	1440021306	0	5004	5004	2
Thu Aug 20 00:55:21 2015	1440021321	0	5004	5004	1
Thu Aug 20 00:55:06 2015	1440021306	0	5004	5004	1
Thu Aug 20 00:56:06 2015	1440021366	0	5004	5004	2
Thu Aug 20 00:56:11 2015	1440021371	0	5004	5004	2
Thu Aug 20 00:58:06 2015	1440021486	0	5004	5004	1
Thu Aug 20 00:55:51 2015	1440021351	0	5004	5004	2
Thu Aug 20 00:51:51 2015	1440021111	0	5004	5004	2
Thu Aug 20 00:55:21 2015	1440021321	0	5004	5004	2
Thu Aug 20 00:56:16 2015	1440021376	0	5004	5004	2
Thu Aug 20 00:51:51 2015	1440021111	0	5004	5004	2
Thu Aug 20 00:51:11 2015	1440021071	0	5004	5004	3
Thu Aug 20 00:55:06 2015	1440021306	0	5004	5004	2
Thu Aug 20 00:50:36 2015	1440021036	1	5003	5004	1
Thu Aug 20 00:50:26 2015	1440021026	0	5004	5004	2
Thu Aug 20 00:56:06 2015	1440021366	0	5004	5004	2
Thu Aug 20 00:53:16 2015	1440021196	0	5004	5004	2
Thu Aug 20 00:56:46 2015	1440021406	0	5004	5004	2
Thu Aug 20 00:56:26 2015	1440021386	0	5004	5004	2
Thu Aug 20 00:56:51 2015	1440021411	0	5004	5004	2
Thu Aug 20 00:53:31 2015	1440021211	0	5004	5004	3
Thu Aug 20 00:50:36 2015	1440021036	0	5004	5004	2
Thu Aug 20 00:55:06 2015	1440021306	0	5004	5004	2
Thu Aug 20 00:56:26 2015	1440021386	0	5004	5004	2
Thu Aug 20 00:55:11 2015	1440021311	0	5004	5004	2
Thu Aug 20 00:50:51 2015	1440021051	1	5004	5004	1
Thu Aug 20 00:54:36 2015	1440021276	0	5004	5004	2
Thu Aug 20 00:54:41 2015	1440021281	0	5004	5004	1
Thu Aug 20 00:52:06 2015	1440021126	0	5004	5004	2
Thu Aug 20 00:52:56 2015	1440021176	0	5004	5004	3
Thu Aug 20 00:54:41 2015	1440021281	0	5004	5004	1
Thu Aug 20 00:57:06 2015	1440021426	0	5004	5004	3
Thu Aug 20 00:55:21 2015	1440021321	0	5004	5004	1
Thu Aug 20 00:51:16 2015	1440021076	0	5004	5004	1
Thu Aug 20 00:52:26 2015	1440021146	0	5004	5004	3
Thu Aug 20 00:56:41 2015	1440021401	0	5004	5004	2
Thu Aug 20 00:53:41 2015	1440021221	0	5004	5004	3
Thu Aug 20 00:55:31 2015	1440021331	0	5004	5004	2
Thu Aug 20 00:50:26 2015	1440021026	0	5004	5004	2
Thu Aug 20 00:50:36 2015	1440021036	0	5004	5004	2
Thu Aug 20 00:51:16 2015	1440021076	0	5004	5004	2
Thu Aug 20 00:56:06 2015	1440021366	0	5004	5004	1
Thu Aug 20 00:54:31 2015	1440021271	0	5004	5004	2
Thu Aug 20 00:55:26 2015	1440021326	0	5004	5004	2
Thu Aug 20 00:55:01 2015	1440021301	0	5004	5004	2
Thu Aug 20 00:55:31 2015	1440021331	0	5004	5004	1
Thu Aug 20 00:50:46 2015	1440021046	0	5004	5004	3
Thu Aug 20 00:56:31 2015	1440021391	0	5004	5004	3
Thu Aug 20 00:55:51 2015	1440021351	0	5004	5004	2
Thu Aug 20 00:55:36 2015	1440021336	0	5004	5004	1
Thu Aug 20 00:55:21 2015	1440021321	0	5004	5004	2
Thu Aug 20 00:50:01 2015	1440021001	0	5004	5004	3
Thu Aug 20 00:53:31 2015	1440021211	0	5004	5004	2
Thu Aug 20 00:53:26 2015	1440021206	0	5004	5004	3
Thu Aug 20 00:52:06 2015	1440021126	0	5004	5004	1
Thu Aug 20 00:54:56 2015	1440021296	0	5004	5004	2
Thu Aug 20 00:50:01 2015	1440021001	0	5004	5004	3
Thu Aug 20 00:51:16 2015	1440021076	0	5004	5004	2
Thu Aug 20 00:51:16 2015	1440021076	0	5004	5004	1
Thu Aug 20 00:51:01 2015	1440021061	0	5004	5004	2
Thu Aug 20 00:51:36 2015	1440021096	0	5004	5004	2
Thu Aug 20 00:52:21 2015	1440021141	0	5004	5004	2
Thu Aug 20 00:50:36 2015	1440021036	0	5004	5004	2
Thu Aug 20 00:51:21 2015	1440021081	0	5004	5004	3
Thu Aug 20 00:50:01 2015	1440021001	0	5004	5004	2
Thu Aug 20 00:55:41 2015	1440021341	0	5004	5004	2
Thu Aug 20 00:57:06 2015	1440021426	0	5004	5004	2
Thu Aug 20 00:55:41 2015	1440021341	0	5004	5004	2
Thu Aug 20 00:54:56 2015	1440021296	0	5004	5004	1
Thu Aug 20 00:52:46 2015	1440021166	0	5004	5004	2
Thu Aug 20 00:53:26 2015	1440021206	0	5004	5004	3
Thu Aug 20 00:50:16 2015	1440021016	0	5004	5005	2
Thu Aug 20 00:50:46 2015	1440021046	0	5004	5005	3
Thu Aug 20 00:50:31 2015	1440021031	0	5004	5005	2
Thu Aug 20 00:53:31 2015	1440021211	0	5004	5005	2
Thu Aug 20 00:50:21 2015	1440021021	0	5004	5005	3
